Race Number,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track Type
18,Fort Worth,13,15,6,   Ryan Newman,Wyndham Rewards   (Jack Roush),Ford,334,running,0,24,0,Oval
18,Fort Worth,14,14,43,   Bubba Wallace,Cash App   (Richard Petty Motorsports),Chevrolet,334,running,0,23,0,Oval
18,Fort Worth,15,34,34,   Michael McDowell,Love's Travel Stops / Speedco   (Bob Jenkins),Ford,334,running,0,22,0,Oval
18,Fort Worth,16,36,32,   Corey LaJoie,Trump 2020   (Archie St. Hilaire),Ford,334,running,0,21,0,Oval
18,Fort Worth,17,11,21,   Matt DiBenedetto,Motorcraft / Quick Lane   (Wood Brothers),Ford,334,running,1,20,0,Oval
18,Fort Worth,18,22,42,   Matt Kenseth,McDonald's McDelivery   (Chip Ganassi),Chevrolet,334,running,0,19,0,Oval
18,Fort Worth,19,16,17,   Chris Buescher,Roush Performance Stage 3   (Jack Roush),Ford,333,running,0,20,0,Oval
18,Fort Worth,20,7,11,   Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,333,running,11,25,0,Oval
18,Fort Worth,21,33,95,   Christopher Bell,Rheem / Procore   (Leavine Family Racing),Toyota,331,running,0,16,0,Oval
18,Fort Worth,22,28,38,   John H. Nemechek,Citgard Heavy Duty Engine Oil   (Bob Jenkins),Ford,331,running,0,15,0,Oval
18,Fort Worth,23,37,96,   Daniel Suarez,Toyota Certified Used Vehicles   (Gaunt Brothers),Toyota,329,running,0,14,0,Oval
18,Fort Worth,24,35,77,   J.J. Yeley,Formula One Imports   (Spire Motorsports),Chevrolet,328,running,0,0,0,Oval
18,Fort Worth,25,29,27,   Gray Gaulding,Panini America   (Rick Ware),Ford,323,running,0,0,0,Oval
18,Fort Worth,26,20,48,   Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,322,running,0,15,0,Oval
18,Fort Worth,27,32,15,   Brennan Poole,Spartan Mosquito Pro Tech   (Rick Ware),Chevrolet,322,running,0,10,0,Oval
18,Fort Worth,28,40,7,   Reed Sorenson,"Gorilla Glue & Tape   (Tommy Baldwin, Jr.)",Chevrolet,322,running,0,9,0,Oval
18,Fort Worth,29,10,19,   Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs   (Joe Gibbs),Toyota,320,running,15,14,0,Oval
18,Fort Worth,30,12,88,   Alex Bowman,ChevyGoods.com / Adam's Polishes   (Rick Hendrick),Chevrolet,319,crash,0,10,0,Oval
18,Fort Worth,31,27,53,   Josh Bilicki,Junction Fuels   (Rick Ware),Chevrolet,318,running,0,0,0,Oval
