Track, EndPos, StartPos, CarNumber, Driver, Sponsor, Manufacturer, Laps, Led, Pts, PPts
Homestead,29,14,12, Ryan Blaney,Dex Imaging  (Roger Penske),Ford,266,running,0,11,0
Homestead,30,16,10, Aric Almirola,Smithfield  (Stewart Haas Racing),Ford,264,running,0,7,0
Homestead,31,28,53, Garrett Smithley,KSDT CPA / Rich Mar Florist  (Rick Ware),Chevrolet,263,running,0,0,0
Homestead,32,26,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,261,running,0,0,0
Homestead,33,36,52, Josh Bilicki,Jacob Companies  (Rick Ware),Ford,259,running,0,4,0
Homestead,34,34,78, B.J. McLeod,Traxion.gg / Motorsport Games  (B.J. McLeod),Ford,258,running,0,0,0
Homestead,35,38,0, Quin Houff,8 Ball Whiskey  (StarCom Racing),Chevrolet,258,running,0,2,0
Homestead,36,25,7, Corey LaJoie,Marwin Sports Apparel  (Spire Motorsports),Chevrolet,151,engine,0,1,0
Homestead,37,29,15, James Davison,Rick Ware Racing  (Rick Ware),Chevrolet,61,engine,0,1,0
Homestead,38,33,66, Timmy Hill,Carl Long,Toyota,21,electrical,0,0,0
Phoenix,1,3,5, Kyle Larson,Hendrickcars.com  (Rick Hendrick),Chevrolet,267,running,103,50,6
Phoenix,2,10,2, Brad Keselowski,Discount Tire  (Roger Penske),Ford,267,running,27,54,1
Phoenix,3,14,18, Kyle Busch,Ethel M Chocolates  (Joe Gibbs),Toyota,267,running,0,36,0
Phoenix,4,6,11, Denny Hamlin,FedEx Ground  (Joe Gibbs),Toyota,267,running,47,48,0
Phoenix,5,26,12, Ryan Blaney,Menards / Pennzoil  (Roger Penske),Ford,267,running,1,46,0
Phoenix,6,4,19, Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs  (Joe Gibbs),Toyota,267,running,6,35,0
Phoenix,7,16,20, Christopher Bell,Craftsman  (Joe Gibbs),Toyota,267,running,0,39,0
Phoenix,8,2,24, William Byron,Liberty University  (Rick Hendrick),Chevrolet,267,running,25,40,0
Phoenix,9,15,22, Joey Logano,Pennzoil  (Roger Penske),Ford,267,running,7,30,0
Phoenix,10,29,43, Erik Jones,Medallion Bank  (Richard Petty Motorsports),Chevrolet,267,running,0,27,0
Phoenix,11,17,47, Ricky Stenhouse Jr,Kroger / Cottonelle / Hungry Jack  (JTG-Daugherty Racing),Chevrolet,267,running,0,26,0
Phoenix,12,12,3, Austin Dillon,BetMGM  (Richard Childress),Chevrolet,267,running,0,25,0
Phoenix,13,8,9, Chase Elliott,NAPA Auto Parts  (Rick Hendrick),Chevrolet,267,running,22,34,0
Phoenix,14,18,17, Chris Buescher,Fastenal / Loctite  (Jack Roush),Ford,267,running,0,23,0
Phoenix,15,19,37, Ryan Preece,Natural Light Naturdays  (JTG-Daugherty Racing),Chevrolet,266,running,0,22,0
