Track,Pos,St,#,Driver,Sponsor/Owner,Car,Led,TrackType
Fontana,20,10,47,RickyStenhouseJr,Kroger/Cheerios/HealthyChoice(JTG-DaughertyRacing),Chevrolet,6,Oval
Fontana,21,9,42,KyleLarson,McDonald's(ChipGanassi),Chevrolet,0,Oval
Fontana,22,8,34,MichaelMcDowell,Love'sTravelStops/Speedco(BobJenkins),Ford,0,Oval
Fontana,23,1,14,ClintBowyer,RushTruckCenters/HaasCNC(StewartHaasRacing),Ford,10,Oval
Fontana,24,25,3,AustinDillon,DowCoatings/Kilz(RichardChildress),Chevrolet,0,Oval
Fontana,25,23,38,JohnH.Nemechek,FireAlarmServices(BobJenkins),Ford,0,Oval
Fontana,26,24,13,TyDillon,GEICO(GermainRacing),Chevrolet,0,Oval
Fontana,27,14,43,BubbaWallace,VictoryJunction(RichardPettyMotorsports),Chevrolet,0,Oval
Fontana,28,31,96,DanielSuarez,ToyotaCertifiedUsedVehicles(GauntBrothers),Toyota,0,Oval
Fontana,29,26,32,CoreyLaJoie,PalaCasino(ArchieSt.Hilaire),Ford,0,Oval
Fontana,30,20,37,RyanPreece,Cottonelle(JTG-DaughertyRacing),Chevrolet,0,Oval
Fontana,31,30,52,J.J.Yeley,JacobCompanies(RickWare),Ford,0,Oval
Fontana,32,32,15,BrennanPoole,ChocKids(JayRobinson),Chevrolet,0,Oval
Fontana,33,34,53,JoeyGase,OneLegacy(RickWare),Ford,0,Oval
Fontana,34,36,51,GarrettSmithley,RickWareRacing(RickWare),Chevrolet,0,Oval
Fontana,35,35,0,QuinHouff,VictoryWeekend(StarComRacing),Chevrolet,0,Oval
Fontana,36,33,77,ReedSorenson,SpireMotorsports(SpireMotorsports),Chevrolet,0,Oval
Fontana,37,37,66,TimmyHill,Manscaped/LasVegas.net(CarlLong),Toyota,0,Oval
Fontana,38,22,95,ChristopherBell,Rheem/Procore(LeavineFamilyRacing),Toyota,0,Oval
Phoenix,1,13,22,JoeyLogano,Shell/Pennzoil(RogerPenske),Ford,60,Oval
Phoenix,2,2,4,KevinHarvick,JimmyJohn'sFreakyFastRewards(StewartHaasRacing),Ford,67,Oval
Phoenix,3,10,18,KyleBusch,SportClips(JoeGibbs),Toyota,0,Oval
Phoenix,4,4,42,KyleLarson,McDonald's(ChipGanassi),Chevrolet,2,Oval
Phoenix,5,18,14,ClintBowyer,Mobil1/HaasCNC(StewartHaasRacing),Ford,0,Oval
Phoenix,6,7,1,KurtBusch,GearWrench(ChipGanassi),Chevrolet,0,Oval
Phoenix,7,1,9,ChaseElliott,Unifirst(RickHendrick),Chevrolet,93,Oval
Phoenix,8,6,10,AricAlmirola,Smithfield(StewartHaasRacing),Ford,0,Oval
Phoenix,9,16,41,ColeCuster,HaasAutomation(StewartHaasRacing),Ford,0,Oval
Phoenix,10,17,24,WilliamByron,Hertz(RickHendrick),Chevrolet,0,Oval
Phoenix,11,14,2,BradKeselowski,AllianceParts(RogerPenske),Ford,82,Oval
Phoenix,12,21,48,JimmieJohnson,Ally(RickHendrick),Chevrolet,0,Oval
Phoenix,13,9,21,MattDiBenedetto,Motorcraft/QuickLane(WoodBrothers),Ford,0,Oval
Phoenix,14,8,88,AlexBowman,Axalta(RickHendrick),Chevrolet,0,Oval
Phoenix,15,25,13,TyDillon,GEICO(GermainRacing),Chevrolet,0,Oval
Phoenix,16,22,34,MichaelMcDowell,Love'sTravelStops/Speedco(BobJenkins),Ford,0,Oval
Phoenix,17,23,17,ChrisBuescher,SunnyD(JackRoush),Ford,1,Oval
Phoenix,18,20,37,RyanPreece,Velveeta(JTG-DaughertyRacing),Chevrolet,0,Oval
Phoenix,19,27,43,BubbaWallace,WorldWideTechnology(RichardPettyMotorsports),Chevrolet,0,Oval
Phoenix,20,3,11,DennyHamlin,FedExFreight(JoeGibbs),Toyota,0,Oval
Phoenix,21,31,96,DanielSuarez,CommScope(GauntBrothers),Toyota,0,Oval
Phoenix,22,19,47,RickyStenhouseJr,Kroger/NatureValley/HealthyChoice(JTG-DaughertyRacing),Chevrolet,0,Oval
Phoenix,23,24,6,RossChastain,OscarMayer(JackRoush),Ford,0,Oval
Phoenix,24,15,95,ChristopherBell,Procore(LeavineFamilyRacing),Toyota,0,Oval
Phoenix,25,26,38,JohnH.Nemechek,MDSTransport(BobJenkins),Ford,0,Oval
Phoenix,26,33,52,J.J.Yeley,WindowWorld(RickWare),Ford,0,Oval
Phoenix,27,28,32,CoreyLaJoie,MotorTrend(ArchieSt.Hilaire),Ford,0,Oval
Phoenix,28,11,20,ErikJones,InterstateBatteries(JoeGibbs),Toyota,0,Oval
Phoenix,29,37,53,JoeyGase,RickWareRacing(RickWare),Chevrolet,0,Oval
Phoenix,30,35,77,ReedSorenson,SpireMotorsports(SpireMotorsports),Chevrolet,0,Oval
Phoenix,31,32,15,BrennanPoole,GoettlAirConditioning&Plumbing(JayRobinson),Chevrolet,0,Oval
Phoenix,32,12,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs(JoeGibbs),Toyota,11,Oval
Phoenix,33,29,8,TylerReddick,IAmSecond(RichardChildress),Chevrolet,0,Oval
Phoenix,34,34,0,QuinHouff,Mount-N-Lock/AshurstHoney(StarComRacing),Chevrolet,0,Oval
Phoenix,35,36,51,GarrettSmithley,JacobConstruction(RickWare),Chevrolet,0,Oval
Phoenix,36,30,3,AustinDillon,BassProShops/TrackerOffRoad(RichardChildress),Chevrolet,0,Oval
Phoenix,37,5,12,RyanBlaney,Menards/Tarkett(RogerPenske),Ford,0,Oval
Phoenix,38,38,66,TimmyHill,PitBossGrills(CarlLong),Toyota,0,Oval
Darlington,1,6,4,KevinHarvick,BuschLight#YOURFACEHERE(StewartHaasRacing),Ford,159,Oval
Darlington,2,2,88,AlexBowman,ChevyGoods.com/NOCO(RickHendrick),Chevrolet,41,Oval
Darlington,3,22,1,KurtBusch,MonsterEnergy(ChipGanassi),Chevrolet,0,Oval
Darlington,4,11,9,ChaseElliott,NAPAAutoParts(RickHendrick),Chevrolet,0,Oval
Darlington,5,10,11,DennyHamlin,ThankYouFedExTeamMembers(JoeGibbs),Toyota,0,Oval
Darlington,6,15,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs(JoeGibbs),Toyota,0,Oval
Darlington,7,29,8,TylerReddick,"Caterpillar""ThankYou""(RichardChildress)",Chevrolet,0,Oval
Darlington,8,20,20,ErikJones,"DeWaltAtomic""ThankYou""(JoeGibbs)",Toyota,0,Oval
Darlington,9,34,38,JohnH.Nemechek,ScagPowerEquipment(BobJenkins),Ford,0,Oval
Darlington,10,12,42,MattKenseth,CreditOneBank(ChipGanassi),Chevrolet,0,Oval
Darlington,11,16,3,AustinDillon,Symbicort(RichardChildress),Chevrolet,0,Oval
Darlington,12,5,10,AricAlmirola,Smithfield#GoodFoodChallenge(StewartHaasRacing),Ford,0,Oval
Darlington,13,1,2,BradKeselowski,DiscountTire(RogerPenske),Ford,80,Oval
Darlington,14,3,21,MattDiBenedetto,Motorcraft/QuickLaneTire&AutoCenter(WoodBrothers),Ford,0,Oval
Darlington,15,21,6,RyanNewman,OscarMayer#FrontYardCookout(JackRoush),Ford,0,Oval
Darlington,16,7,12,RyanBlaney,Menards/DuracellOptimum(RogerPenske),Ford,0,Oval
Darlington,17,13,14,ClintBowyer,RushTrucking/Mobil1(StewartHaasRacing),Ford,0,Oval
Darlington,18,9,22,JoeyLogano,Shell/Pennzoil(RogerPenske),Ford,0,Oval
Darlington,19,33,13,TyDillon,GEICO(GermainRacing),Chevrolet,0,Oval
Darlington,20,25,37,RyanPreece,Cottonelle(JTG-DaughertyRacing),Chevrolet,0,Oval
Darlington,21,17,43,BubbaWallace,WorldWideTechnology(RichardPettyMotorsports),Chevrolet,0,Oval
Darlington,22,14,41,ColeCuster,HaasTooling.com(StewartHaasRacing),Ford,0,Oval
Darlington,23,31,34,MichaelMcDowell,CarParts.com(BobJenkins),Ford,0,Oval
Darlington,24,28,95,ChristopherBell,Rheem/Procore(LeavineFamilyRacing),Toyota,0,Oval
Darlington,25,37,96,DanielSuarez,Today.Tomorrow.Toyota.(GauntBrothers),Toyota,0,Oval
Darlington,26,4,18,KyleBusch,"M&M's""ThankYouHeroes""(JoeGibbs)",Toyota,0,Oval
Darlington,27,35,15,BrennanPoole,SpartanMosquitoProTech(RickWare),Chevrolet,0,Oval
Darlington,28,30,27,J.J.Yeley,JacobConstruction(RickWare),Ford,1,Oval
Darlington,29,36,77,ReedSorenson,GreenvilleSwampRabbits/BonSecours(SpireMotorsports),Chevrolet,0,Oval
Darlington,30,32,51,JoeyGase,AgriSupply(RickWare),Ford,0,Oval
Darlington,31,19,32,CoreyLaJoie,Drydene(ArchieSt.Hilaire),Ford,0,Oval
Darlington,32,24,17,ChrisBuescher,Fastenal/Milwaukee(JackRoush),Ford,0,Oval
Darlington,33,38,66,TimmyHill,RoofClaim.com(CarlLong),Toyota,0,Oval
Darlington,34,40,7,JoshBilicki,"Gravely(TommyBaldwin,Jr.)",Chevrolet,0,Oval
Darlington,35,18,24,WilliamByron,Axalta(RickHendrick),Chevrolet,3,Oval
Darlington,36,27,0,QuinHouff,Units(StarComRacing),Chevrolet,0,Oval
Darlington,37,26,53,GarrettSmithley,TrophyTractor(RickWare),Chevrolet,0,Oval
Darlington,38,8,48,JimmieJohnson,Ally(RickHendrick),Chevrolet,9,Oval
Darlington,39,39,78,B.J.McLeod,ChristensenArms(B.J.McLeod),Chevrolet,0,Oval
Darlington,40,23,47,RickyStenhouseJr,Kroger/NatureValley/HealthyChoice(JTG-DaughertyRacing),Chevrolet,0,Oval
Darlington,1,16,11,DennyHamlin,"FedEx""DeliveringStrength""(JoeGibbs)",Toyota,12,Oval
Darlington,2,26,18,KyleBusch,M&M'sFudgeBrownie(JoeGibbs),Toyota,0,Oval
